Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.725402 -0.0315142 -0.0581725 0.685138	0.68199 -0.00245966 -0.0235417 0.730978	0.65675 0.00651885 -0.013979 0.75395	0.671776 -0.00427193 0.017754 0.74053	0.682135 -0.0102557 0.0314884 0.730476	0.732679 -0.0310884 0.0304351 0.679182	0.772807 -0.0509853 0.0576113 0.629961	0.649959 0.0926479 0.340192 0.67323	0.89666 -0.2091 -0.0257083 0.38938	0.920494 -0.0203362 -0.105193 0.375783	0.77871 0.0628483 0.00178166 0.624226	0.656186 -0.192356 -0.172822 0.708909	0.847616 0.200519 0.0956779 0.481856	0.869825 0.0454332 0.18045 0.456922	0.78172 0.0232206 0.166763 0.600471	0.77494 0.0198421 0.0462871 0.630025	0.63448 0.0102606 0.0493044 0.771297	0.724925 0.0647695 -0.0114852 0.68568	0.730399 0.0387823 -0.0013357 0.681917	0.656321 0.0387138 0.00266375 0.753484	0.703674 0.133178 -0.0655673 0.694844	
0.721174 -0.0220566 -0.0619706 0.689624	0.680995 0.00174735 -0.0339675 0.731498	0.657315 0.0114547 -0.0241924 0.753141	0.671957 0.00273058 0.0149121 0.740435	0.681906 -0.00347757 0.0305861 0.730792	0.735729 -0.0303714 0.0285282 0.675993	0.77543 -0.0472787 0.0590581 0.626886	0.651455 0.08635 0.336646 0.674403	0.898731 -0.209805 -0.0268084 0.384118	0.922677 -0.0200421 -0.105412 0.370342	0.779468 0.0633877 0.0045141 0.623211	0.658417 -0.185005 -0.172635 0.708842	0.849414 0.202863 0.0955506 0.477717	0.87199 0.047862 0.179352 0.452964	0.781842 0.025739 0.164531 0.600824	0.761764 0.0251457 0.0354812 0.646393	0.643005 0.0188614 0.0391851 0.764626	0.743724 0.060056 -0.00875331 0.665726	0.734574 0.0407766 -0.00683288 0.677267	0.653145 0.0412881 -0.0021708 0.756104	0.702906 0.13273 -0.0657482 0.695689	
0.71245 -0.00774413 -0.0559604 0.699445	0.677596 0.00753592 -0.0361229 0.734508	0.656 0.0144413 -0.0286612 0.754078	0.670305 0.00491198 0.0102388 0.741999	0.68024 -0.000958812 0.0262878 0.732517	0.740185 -0.0268724 0.0268002 0.671332	0.778558 -0.044527 0.0582364 0.623276	0.653869 0.0789737 0.332397 0.675078	0.900011 -0.213202 -0.0285801 0.379089	0.924672 -0.0213489 -0.106801 0.364855	0.782422 0.0654304 0.00689399 0.619264	0.660833 -0.174284 -0.173379 0.709129	0.850471 0.209063 0.0963492 0.472978	0.874304 0.0510015 0.180711 0.447588	0.783916 0.02747 0.163262 0.598387	0.763646 0.0387033 0.0146983 0.644306	0.64064 0.0355762 0.0211736 0.766724	0.743664 0.0607038 -0.00891088 0.665732	0.741654 0.0412726 -0.0112713 0.669417	0.649186 0.0423811 -0.0058577 0.759425	0.70126 0.130793 -0.066384 0.697654	
0.707992 -0.000630522 -0.0412644 0.705014	0.675621 0.00997252 -0.0255243 0.736739	0.654907 0.0123344 -0.021363 0.755307	0.670251 -0.00153909 0.00572843 0.742111	0.680546 -0.00644121 0.0193155 0.732422	0.744159 -0.0206586 0.0256798 0.667189	0.778245 -0.0413929 0.0576861 0.623934	0.654663 0.0797665 0.329432 0.675669	0.899735 -0.218465 -0.0305074 0.376588	0.925548 -0.0247232 -0.108882 0.361793	0.786768 0.0639038 0.00551475 0.613907	0.663389 -0.170958 -0.174039 0.707389	0.848638 0.217802 0.09639 0.472318	0.874373 0.0556493 0.182817 0.446042	0.786807 0.0310707 0.166719 0.593442	0.765878 0.0398002 0.0101901 0.641672	0.642599 0.0374213 0.0169572 0.7651	0.732359 0.0633261 -0.0137907 0.677827	0.743854 0.0391121 -0.0117569 0.667093	0.647103 0.0403403 -0.00637537 0.761308	0.699623 0.128603 -0.0677972 0.699566	
0.711524 -0.00462716 -0.0271057 0.702123	0.677224 0.00648702 -0.0107087 0.73567	0.655068 0.00581848 -0.0085752 0.755498	0.67141 -0.0113769 0.00495207 0.740982	0.68208 -0.0159806 0.0151469 0.730946	0.745511 -0.0172657 0.0239302 0.665839	0.779239 -0.037931 0.0578779 0.622895	0.653289 0.0854875 0.327257 0.677354	0.898231 -0.220397 -0.0324613 0.378884	0.924424 -0.0288624 -0.110513 0.363859	0.789172 0.0591742 -0.00138712 0.611313	0.662201 -0.174204 -0.174585 0.707576	0.845528 0.223496 0.0951325 0.475481	0.872407 0.0614391 0.18237 0.449303	0.787722 0.0376947 0.173081 0.590013	0.764949 0.0282317 0.0237354 0.643034	0.645431 0.0238202 0.0281602 0.762927	0.726916 0.0633057 -0.0174796 0.683579	0.739561 0.0346526 -0.00749368 0.672155	0.647765 0.0353254 -0.0030115 0.761015	0.698959 0.126642 -0.0694268 0.700427	
0.717521 -0.0134662 -0.0177189 0.696181	0.68037 -0.000276281 -0.000230204 0.732868	0.657054 -0.0015527 0.00141481 0.753841	0.67243 -0.0174905 0.00743976 0.739917	0.682929 -0.0218232 0.0150625 0.730003	0.74462 -0.0189584 0.021886 0.66686	0.784576 -0.0357611 0.0581695 0.616261	0.652274 0.0900781 0.325119 0.678766	0.896354 -0.217843 -0.0351082 0.384526	0.921894 -0.0319095 -0.112211 0.369462	0.786293 0.0544584 -0.0101937 0.615364	0.658152 -0.17776 -0.174361 0.710517	0.842341 0.222892 0.0941713 0.481572	0.86877 0.0667717 0.179767 0.456578	0.784605 0.0460121 0.178016 0.592105	0.761918 0.0141676 0.0403306 0.646261	0.648309 0.00751048 0.0420817 0.760176	0.724432 0.0574234 -0.017402 0.68673	0.733208 0.0293165 -0.00236844 0.679368	0.649846 0.0293939 0.00103298 0.759496	0.699209 0.125332 -0.0704374 0.700313	
0.721727 -0.0193378 -0.0150284 0.691744	0.683562 -0.00529192 0.00168381 0.729871	0.661169 -0.00518239 0.00409924 0.750207	0.673765 -0.0174471 0.010579 0.738664	0.683297 -0.0215214 0.0175702 0.729611	0.741937 -0.0236531 0.0194081 0.669771	0.790237 -0.0361534 0.0569683 0.609075	0.653396 0.0928741 0.322969 0.678336	0.895883 -0.213893 -0.0382639 0.38753	0.920471 -0.0330181 -0.113936 0.372373	0.779346 0.0523611 -0.0157707 0.624203	0.654614 -0.180052 -0.173813 0.713338	0.840801 0.218607 0.0941378 0.486213	0.865847 0.0710184 0.17621 0.462834	0.774448 0.0534215 0.179001 0.60443	0.757681 0.00226837 0.0530295 0.650463	0.651693 -0.00570099 0.052771 0.756623	0.724041 0.0478923 -0.0194998 0.687816	0.728287 0.0263662 -0.000912673 0.684764	0.651752 0.0263148 0.00188197 0.757973	0.699392 0.126697 -0.0701112 0.699916	
0.72313 -0.0196996 -0.0188355 0.690174	0.685727 -0.00575461 -0.0030635 0.72783	0.665524 -0.00321385 0.00102189 0.746368	0.675432 -0.0133 0.0124792 0.737197	0.683864 -0.0175187 0.0200485 0.729124	0.739545 -0.0278663 0.0179101 0.672292	0.792867 -0.040038 0.0537905 0.605695	0.655026 0.0948675 0.321988 0.676952	0.896073 -0.211199 -0.0414244 0.388244	0.920027 -0.0331784 -0.116025 0.37281	0.773135 0.0527553 -0.0173856 0.631804	0.652443 -0.181835 -0.174284 0.714759	0.841664 0.214469 0.0941619 0.486558	0.865387 0.0741686 0.172341 0.464654	0.761558 0.0588914 0.17681 0.620725	0.754076 -0.00599893 0.0611761 0.653905	0.653427 -0.0146372 0.0597013 0.75449	0.725954 0.040893 -0.0241534 0.686102	0.7259 0.0269424 -0.00358535 0.687263	0.653041 0.0271665 -0.000855369 0.756835	0.69946 0.128194 -0.0699275 0.699594	
0.72257 -0.0159981 -0.0258517 0.690629	0.68627 -0.00237105 -0.0100274 0.727274	0.667449 0.00193927 -0.00453552 0.744639	0.676808 -0.00807754 0.0122886 0.736013	0.684891 -0.012616 0.0210995 0.728231	0.740498 -0.0300832 0.0177082 0.671151	0.79277 -0.0456898 0.0499437 0.605751	0.656989 0.0942787 0.323421 0.674445	0.896897 -0.210146 -0.043797 0.386648	0.920603 -0.0327896 -0.117719 0.370887	0.773198 0.0529636 -0.0174896 0.631707	0.651944 -0.18154 -0.177016 0.714617	0.843872 0.2123 0.0931279 0.483877	0.866842 0.075998 0.168573 0.463025	0.751452 0.060405 0.174518 0.633415	0.75162 -0.0102971 0.0649676 0.656308	0.65334 -0.0192074 0.0629119 0.754202	0.72781 0.0367501 -0.0275383 0.684239	0.725005 0.0299347 -0.00871953 0.688037	0.65376 0.0306476 -0.00573069 0.756059	0.699292 0.129453 -0.0698566 0.699537	
0.721048 -0.010098 -0.0315365 0.692093	0.686042 0.00315922 -0.0151391 0.727398	0.667242 0.00783017 -0.00917266 0.744744	0.678034 -0.00395859 0.0107193 0.734942	0.686459 -0.00897439 0.0207403 0.726817	0.743624 -0.0309123 0.0174359 0.667655	0.790898 -0.0503738 0.0473878 0.608027	0.659458 0.0909906 0.324957 0.671743	0.898125 -0.210224 -0.0451121 0.383592	0.921874 -0.0311474 -0.119009 0.367443	0.778158 0.0546221 -0.0172747 0.62545	0.653428 -0.178753 -0.180233 0.713159	0.846764 0.212413 0.0908244 0.47919	0.869716 0.0756413 0.165562 0.458761	0.74984 0.0601533 0.171521 0.636162	0.749323 -0.0117401 0.0648291 0.658919	0.653315 -0.0204006 0.0626455 0.754214	0.72854 0.0362131 -0.0285482 0.68345	0.724466 0.034689 -0.0158717 0.688254	0.654007 0.0360696 -0.0124186 0.755526	0.699209 0.130424 -0.0701394 0.699411	
