Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
-1.5567 36.2318 10.5022	-1.14593 38.8316 12.4694	-0.998084 42.454 12.8502	-0.957684 46.0946 12.6662	-1.02157 49.7221 12.3112	-1.20726 59.1725 10.2878	-1.14332 64.1603 9.79622	0.123759 56.1395 9.92132	4.63841 59.6154 11.8289	16.1428 54.6284 13.3027	25.1573 53.5536 11.6569	-2.29049 56.062 9.78112	-7.49548 59.0511 9.50522	-18.8742 53.5954 9.89717	-27.4616 51.3447 7.38391	1.86711 34.7433 10.2972	3.43479 18.9497 7.02629	4.7086 3.06254 10.1893	-5.24805 35.6436 10.5931	-4.42255 19.4997 9.45915	-3.41777 3.43195 11.6607	
-1.439 36.2471 10.4963	-1.01365 38.8719 12.4268	-0.823771 42.4935 12.7972	-0.75457 46.1339 12.6191	-0.842367 49.7611 12.2658	-1.1253 59.2072 10.2339	-1.05735 64.1992 9.78642	0.225518 56.1844 9.85604	4.78256 59.5887 11.7917	16.278 54.5675 13.2182	25.2919 53.5059 11.5605	-2.18946 56.0877 9.74281	-7.42855 59.0221 9.53282	-18.784 53.5185 9.93049	-27.3745 51.2493 7.44466	1.99333 34.7861 10.2415	3.39609 18.8566 7.61906	4.68359 2.90276 10.42	-5.12256 35.628 10.6648	-4.39019 19.4951 9.32747	-3.42175 3.44329 11.6575	
-1.29031 36.3435 10.5933	-0.920108 39.0269 12.4533	-0.74405 42.6525 12.79	-0.666832 46.2921 12.5996	-0.743443 49.9179 12.2302	-1.0178 59.3548 10.1546	-0.969596 64.3523 9.77062	0.320482 56.3262 9.77893	4.92634 59.6433 11.7501	16.3831 54.5246 13.1414	25.3905 53.4413 11.4628	-2.09573 56.2361 9.689	-7.37802 59.0977 9.58066	-18.6651 53.4575 10.0084	-27.2409 51.1421 7.51416	2.18082 34.9789 10.33	3.35278 19.0511 7.58637	4.68006 3.11281 10.4564	-4.95136 35.62 10.8246	-4.32686 19.5144 9.14725	-3.40448 3.48457 11.6418	
-1.16751 36.4726 10.6099	-0.900903 39.1911 12.4364	-0.797499 42.8211 12.7544	-0.748162 46.4606 12.5533	-0.767828 50.0871 12.1832	-0.878449 59.5292 10.1162	-0.874449 64.5309 9.78789	0.405567 56.4778 9.73588	5.03349 59.7802 11.6799	16.43 54.5269 13.0642	25.4263 53.3777 11.3697	-2.01199 56.4305 9.64944	-7.30532 59.2729 9.5836	-18.498 53.4562 10.1157	-27.0505 51.0536 7.62403	2.34707 35.2139 10.4008	3.4277 19.2997 7.54375	4.71227 3.34259 10.3277	-4.80648 35.638 10.8138	-4.24431 19.5408 9.03618	-3.38032 3.52255 11.624	
-1.10961 36.5753 10.502	-0.929005 39.2808 12.358	-0.895664 42.9108 12.692	-0.880253 46.5506 12.4918	-0.843032 50.1783 12.134	-0.75713 59.6302 10.1111	-0.769617 64.633 9.80138	0.47181 56.5566 9.72683	5.10554 59.8915 11.6002	16.4775 54.5823 12.9724	25.4631 53.3479 11.2811	-1.9454 56.5558 9.62031	-7.22299 59.4265 9.52835	-18.3583 53.5128 10.1806	-26.9013 51.0117 7.75415	2.42671 35.3677 10.3737	3.60351 19.4476 7.58829	4.78476 3.46684 10.2808	-4.74043 35.6882 10.6039	-4.16517 19.569 9.04337	-3.35492 3.54544 11.6157	
-1.05311 36.6239 10.3714	-0.922579 39.2988 12.2754	-0.920025 42.9259 12.6403	-0.919602 46.5668 12.4591	-0.861722 50.1953 12.1126	-0.682885 59.6516 10.1164	-0.668979 64.6536 9.79387	0.524547 56.5692 9.73406	5.16536 59.9272 11.5477	16.5611 54.6559 12.8682	25.5363 53.3481 11.1769	-1.89161 56.5881 9.60719	-7.1551 59.4828 9.46844	-18.3018 53.597 10.1758	-26.8496 51.012 7.85649	2.48602 35.419 10.316	3.77866 19.4791 7.69985	4.8508 3.47349 10.2879	-4.68487 35.7348 10.3639	-4.09566 19.5888 9.11763	-3.34835 3.55024 11.6146	
-0.973512 36.6287 10.2686	-0.854036 39.2801 12.2059	-0.840704 42.9038 12.6027	-0.836282 46.5465 12.4615	-0.794289 50.1764 12.1281	-0.648286 59.6352 10.1413	-0.580865 64.6343 9.7809	0.572918 56.5583 9.75974	5.22432 59.9202 11.5386	16.6572 54.7073 12.766	25.6239 53.3636 11.0577	-1.84291 56.5674 9.62566	-7.09882 59.4737 9.44952	-18.2935 53.6769 10.1348	-26.8538 51.0373 7.92595	2.56039 35.4076 10.2422	3.9104 19.4387 7.84111	4.88784 3.40462 10.287	-4.609 35.7572 10.2059	-4.0454 19.5936 9.19799	-3.35735 3.54093 11.6199	
-0.891813 36.6179 10.2014	-0.74753 39.2601 12.1496	-0.704547 42.8812 12.5679	-0.693908 46.5252 12.469	-0.683877 50.1567 12.1511	-0.629092 59.619 10.1759	-0.518066 64.6147 9.78221	0.619202 56.5537 9.78743	5.27371 59.9199 11.5502	16.7292 54.7352 12.6834	25.6868 53.3738 10.9419	-1.79693 56.541 9.65927	-7.04312 59.4636 9.4639	-18.2829 53.7489 10.0976	-26.8597 51.0868 7.98151	2.63478 35.3766 10.1524	4.00274 19.3837 7.92693	4.91161 3.33373 10.2934	-4.53255 35.7677 10.1527	-4.01679 19.596 9.25636	-3.36677 3.53331 11.6222	
-0.817914 36.6108 10.1469	-0.63241 39.2543 12.0899	-0.563447 42.8743 12.5134	-0.548979 46.5188 12.4333	-0.566272 50.1514 12.128	-0.601372 59.6186 10.1763	-0.47203 64.6151 9.79827	0.670081 56.5648 9.77307	5.31482 59.9305 11.5624	16.7764 54.7437 12.6222	25.7272 53.381 10.8468	-1.74655 56.5323 9.65868	-6.98251 59.4747 9.4865	-18.2506 53.8132 10.096	-26.846 51.1573 8.04893	2.70211 35.3541 10.0452	4.06568 19.345 7.93735	4.93066 3.29236 10.3025	-4.46262 35.7764 10.1548	-3.99999 19.601 9.29501	-3.36872 3.53223 11.6238	
-0.744115 36.6172 10.0914	-0.528535 39.268 12.0212	-0.453776 42.8883 12.4423	-0.444017 46.5327 12.3605	-0.475796 50.1662 12.067	-0.565383 59.641 10.1543	-0.429349 64.6406 9.82338	0.717584 56.5947 9.73112	5.35768 59.939 11.5718	16.8155 54.7346 12.585	25.7626 53.3978 10.7717	-1.6995 56.5516 9.63066	-6.93371 59.4998 9.51397	-18.2112 53.8593 10.1422	-26.8262 51.2438 8.12548	2.77468 35.3625 9.93639	4.09835 19.3358 7.93922	4.92837 3.28129 10.3039	-4.38758 35.7804 10.1625	-3.98647 19.6026 9.3181	-3.3648 3.53017 11.6246	
