Hips,Spine,Spine1,Spine2,Spine3,Neck,Head,RightShoulder,RightArm,RightForeArm,RightHand,LeftShoulder,LeftArm,LeftForeArm,LeftHand,RightUpLeg,RightLeg,RightFoot,LeftUpLeg,LeftLeg,LeftFoot
0.649723 0.089686 0.069255 0.751678,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.461574 -0.430503 -0.599215 0.492503,NaN NaN NaN NaN,-0.110513 0.106512 0.644989 0.748619,NaN NaN NaN NaN,-0.17951 0.695672 -0.681506 -0.139162,0.185319 0.107012 0.093441 0.972355,NaN NaN NaN NaN,NaN NaN NaN NaN,0.193335 0.091043 -0.970524 0.111424,0.172046 0.083332 -0.981323 -0.021458,NaN NaN NaN NaN,-0.137943 0.696721 0.230277 0.665225,0.723422 -0.405216 -0.498839 -0.252229,0.00141 0.488997 0.569989 0.660297,-0.000778 -0.717257 -0.114585 0.687323,-0.538798 -0.538354 -0.475376 0.440329,0.433023 0.304973 -0.846295 -0.057165
0.640889 0.108144 0.08033 0.755721,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.466878 -0.432185 -0.594966 0.491178,NaN NaN NaN NaN,-0.114285 0.104944 0.645039 0.748231,NaN NaN NaN NaN,-0.183723 0.698898 -0.678135 -0.133863,0.189809 0.108467 0.093415 0.97133,NaN NaN NaN NaN,NaN NaN NaN NaN,0.195702 0.088293 -0.970361 0.110923,0.174595 0.086895 -0.980623 -0.01854,NaN NaN NaN NaN,-0.178879 0.702683 0.232695 0.648145,0.729097 -0.298377 -0.596811 -0.152332,0.053277 0.465712 0.56182 0.68164,0.002739 -0.714007 -0.115151 0.690599,-0.537476 -0.547572 -0.464426 0.442259,0.434118 0.305341 -0.845648 -0.056458
0.653772 0.087941 0.087145 0.746494,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.488394 -0.41789 -0.60048 0.47567,NaN NaN NaN NaN,-0.102109 0.095504 0.647783 0.748886,NaN NaN NaN NaN,-0.189953 0.720917 -0.65255 -0.135552,0.195122 0.112601 0.093373 0.969809,NaN NaN NaN NaN,NaN NaN NaN NaN,0.19597 0.075214 -0.971387 0.111107,0.180489 0.087975 -0.979455 -0.018779,NaN NaN NaN NaN,-0.117395 0.682376 0.230038 0.683859,0.725377 -0.358365 -0.547483 -0.213695,0.008251 0.497205 0.569043 0.654912,0.008221 -0.716287 -0.117762 0.687748,-0.529939 -0.557215 -0.450017 0.454049,0.434485 0.302776 -0.846445 -0.055504
0.621456 0.036804 0.071873 0.779277,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.465098 -0.406602 -0.608272 0.498361,NaN NaN NaN NaN,-0.119573 0.104861 0.647005 0.745715,NaN NaN NaN NaN,-0.173756 0.728927 -0.642999 -0.158198,0.198639 0.116049 0.093221 0.968703,NaN NaN NaN NaN,NaN NaN NaN NaN,0.195761 0.103386 -0.967412 0.12289,0.182057 0.087972 -0.979163 -0.018842,NaN NaN NaN NaN,-0.145926 0.663972 0.27069 0.681596,0.636402 -0.311925 -0.645976 -0.283566,0.017969 0.501396 0.568589 0.651909,0.026476 -0.71989 -0.093147 0.6873,-0.533464 -0.550652 -0.455149 0.45281,0.433668 0.2998 -0.847956 -0.05497
0.602753 0.00904 0.05325 0.796098,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.459288 -0.439507 -0.583717 0.505136,NaN NaN NaN NaN,-0.107808 0.090965 0.650507 0.746286,NaN NaN NaN NaN,-0.175373 0.695106 -0.678574 -0.160029,0.197602 0.119126 0.092928 0.96857,NaN NaN NaN NaN,NaN NaN NaN NaN,0.20206 0.147308 -0.958347 0.137999,0.186498 0.093029 -0.97793 -0.014709,NaN NaN NaN NaN,-0.147495 0.665514 0.249149 0.687939,0.662208 -0.368572 -0.591211 -0.27587,0.027798 0.507216 0.563724 0.651287,0.002294 -0.719768 -0.110102 0.685424,-0.541531 -0.549004 -0.456099 0.444199,0.432863 0.297933 -0.84901 -0.055193
0.630584 0.028145 0.056463 0.773553,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.456764 -0.445471 -0.581612 0.504629,NaN NaN NaN NaN,-0.100376 0.080849 0.653239 0.746101,NaN NaN NaN NaN,-0.202505 0.663808 -0.70777 -0.131955,0.188842 0.120975 0.093687 0.970014,NaN NaN NaN NaN,NaN NaN NaN NaN,0.208711 0.118843 -0.961557 0.133132,0.18878 0.083481 -0.978421 -0.009196,NaN NaN NaN NaN,-0.144848 0.679948 0.223825 0.683075,0.716013 -0.417256 -0.496997 -0.257326,0.029263 0.510663 0.557314 0.654039,-0.025481 -0.716702 -0.131704 0.684356,-0.543629 -0.54242 -0.461968 0.44366,0.433216 0.298201 -0.848726 -0.055363
0.672159 0.056289 0.062736 0.735594,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.463336 -0.427087 -0.597773 0.495565,NaN NaN NaN NaN,-0.094774 0.076828 0.654943 0.745765,NaN NaN NaN NaN,-0.210875 0.666646 -0.704066 -0.124121,0.181232 0.121885 0.095439 0.97118,NaN NaN NaN NaN,NaN NaN NaN NaN,0.205742 0.056969 -0.9698 0.117951,0.189344 0.066717 -0.979632 -0.004231,NaN NaN NaN NaN,-0.119753 0.696462 0.186416 0.682531,0.6964 -0.351287 -0.582243 -0.229386,0.029068 0.514523 0.555718 0.65238,-0.035797 -0.714752 -0.137847 0.684723,-0.543327 -0.544356 -0.458278 0.445482,0.434036 0.299124 -0.847964 -0.055623
0.675209 0.071163 0.067612 0.731066,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.474696 -0.421283 -0.601619 0.485015,NaN NaN NaN NaN,-0.089396 0.080274 0.655699 0.745402,NaN NaN NaN NaN,-0.205907 0.692863 -0.678452 -0.131327,0.178713 0.122753 0.097096 0.971373,NaN NaN NaN NaN,NaN NaN NaN NaN,0.197828 0.014077 -0.974032 0.109214,0.188001 0.055403 -0.980605 -0.000407,NaN NaN NaN NaN,-0.097499 0.703411 0.1613 0.685338,0.685649 -0.33801 -0.601103 -0.233045,0.030796 0.517058 0.555159 0.65077,-0.029441 -0.714996 -0.129996 0.686305,-0.540624 -0.545608 -0.455629 0.449933,0.434976 0.29984 -0.847225 -0.055704
0.656647 0.069467 0.070752 0.747652,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.463173 -0.425534 -0.598468 0.496213,NaN NaN NaN NaN,-0.085378 0.087281 0.655344 0.745397,NaN NaN NaN NaN,-0.199701 0.705572 -0.665855 -0.137567,0.182932 0.123679 0.098603 0.970318,NaN NaN NaN NaN,NaN NaN NaN NaN,0.196594 0.016959 -0.974023 0.111098,0.186342 0.050951 -0.981161 0.001688,NaN NaN NaN NaN,-0.091261 0.704069 0.154881 0.687,0.694395 -0.354561 -0.581146 -0.233177,0.031607 0.518091 0.554516 0.650458,-0.015913 -0.717265 -0.114835 0.687089,-0.537875 -0.547206 -0.452657 0.454266,0.435561 0.300219 -0.846795 -0.055623
0.652355 0.073251 0.078745 0.750244,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.457648 -0.429439 -0.594945 0.502176,NaN NaN NaN NaN,-0.084862 0.093743 0.654329 0.745563,NaN NaN NaN NaN,-0.198714 0.697966 -0.674334 -0.136494,0.190445 0.123223 0.101092 0.968673,NaN NaN NaN NaN,NaN NaN NaN NaN,0.203986 0.051675 -0.970361 0.118825,0.184676 0.05646 -0.981171 0.00313,NaN NaN NaN NaN,-0.10578 0.702092 0.169113 0.683578,0.679959 -0.395771 -0.552636 -0.274981,0.030991 0.518298 0.554669 0.650191,-0.004102 -0.718818 -0.098847 0.688122,-0.534994 -0.549661 -0.448975 0.45834,0.435603 0.300107 -0.846818 -0.055543
