Hips_quat,Hips_accel,Spine_quat,Spine_accel,Spine1_quat,Spine1_accel,Spine2_quat,Spine2_accel,Spine3_quat,Spine3_accel,Neck_quat,Neck_accel,Head_quat,Head_accel,RightShoulder_quat,RightShoulder_accel,RightArm_quat,RightArm_accel,RightForeArm_quat,RightForeArm_accel,RightHand_quat,RightHand_accel,LeftShoulder_quat,LeftShoulder_accel,LeftArm_quat,LeftArm_accel,LeftForeArm_quat,LeftForeArm_accel,LeftHand_quat,LeftHand_accel,RightUpLeg_quat,RightUpLeg_accel,RightLeg_quat,RightLeg_accel,RightFoot_quat,RightFoot_accel,LeftUpLeg_quat,LeftUpLeg_accel,LeftLeg_quat,LeftLeg_accel,LeftFoot_quat,LeftFoot_accel
0.649723 0.089686 0.069255 0.751678,4.311718 10.80593 2.471698,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.461574 -0.430503 -0.599215 0.492503,7.949663 0.426228 1.480097,NaN NaN NaN NaN,NaN NaN NaN,-0.110513 0.106512 0.644989 0.748619,-2.45016 -0.369773 9.400785,NaN NaN NaN NaN,NaN NaN NaN,-0.17951 0.695672 -0.681506 -0.139162,1.628276 -8.52081 -1.776938,0.185319 0.107012 0.093441 0.972355,0.028963 3.288884 9.466618,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.193335 0.091043 -0.970524 0.111424,-3.6676 0.049124 7.983316,0.172046 0.083332 -0.981323 -0.021458,-3.727588 -1.069821 9.596298,NaN NaN NaN NaN,NaN NaN NaN,-0.137943 0.696721 0.230277 0.665225,-18.81969 -3.944086 0.941937,0.723422 -0.405216 -0.498839 -0.252229,-28.278737 2.149397 -12.901718,0.00141 0.488997 0.569989 0.660297,-93.47801 38.055374 34.159771,-0.000778 -0.717257 -0.114585 0.687323,8.901356 1.656362 -1.194128,-0.538798 -0.538354 -0.475376 0.440329,9.169496 -1.377788 -0.409429,0.433023 0.304973 -0.846295 -0.057165,-6.434232 -4.673477 4.913538
0.640889 0.108144 0.08033 0.755721,-11.310007 23.295665 6.885484,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.466878 -0.432185 -0.594966 0.491178,14.604431 0.563097 1.331294,NaN NaN NaN NaN,NaN NaN NaN,-0.114285 0.104944 0.645039 0.748231,-12.033588 -0.89535 31.904333,NaN NaN NaN NaN,NaN NaN NaN,-0.183723 0.698898 -0.678135 -0.133863,4.747607 -9.030509 0.587784,0.189809 0.108467 0.093415 0.97133,-3.214245 3.934191 4.871083,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.195702 0.088293 -0.970361 0.110923,-4.100935 2.002421 7.857136,0.174595 0.086895 -0.980623 -0.01854,-5.505938 -1.104717 5.922986,NaN NaN NaN NaN,NaN NaN NaN,-0.178879 0.702683 0.232695 0.648145,-70.781273 14.23127 33.153897,0.729097 -0.298377 -0.596811 -0.152332,-120.761006 -21.104788 31.470122,0.053277 0.465712 0.56182 0.68164,47.451108 17.279378 14.36031,0.002739 -0.714007 -0.115151 0.690599,5.024285 1.067331 0.453687,-0.537476 -0.547572 -0.464426 0.442259,12.661704 4.875113 3.374158,0.434118 0.305341 -0.845648 -0.056458,-7.79304 -8.945809 2.88296
0.653772 0.087941 0.087145 0.746494,-34.33799 24.87427 9.158775,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.488394 -0.41789 -0.60048 0.47567,31.178149 -0.073721 6.89881,NaN NaN NaN NaN,NaN NaN NaN,-0.102109 0.095504 0.647783 0.748886,10.142487 -0.444461 2.782239,NaN NaN NaN NaN,NaN NaN NaN,-0.189953 0.720917 -0.65255 -0.135552,15.832111 -13.789819 0.195544,0.195122 0.112601 0.093373 0.969809,-8.538715 4.063774 9.018703,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.19597 0.075214 -0.971387 0.111107,-11.345563 5.656894 18.647736,0.180489 0.087975 -0.979455 -0.018779,-12.416203 1.037817 7.854154,NaN NaN NaN NaN,NaN NaN NaN,-0.117395 0.682376 0.230038 0.683859,-7.852478 47.721396 -1.522446,0.725377 -0.358365 -0.547483 -0.213695,-36.127807 -19.578172 -5.537788,0.008251 0.497205 0.569043 0.654912,11.13894 -10.121964 -12.883003,0.008221 -0.716287 -0.117762 0.687748,15.037566 -1.40759 -3.494876,-0.529939 -0.557215 -0.450017 0.454049,10.849929 3.373432 -4.365083,0.434485 0.302776 -0.846445 -0.055504,-7.384089 -5.58895 3.874571
0.621456 0.036804 0.071873 0.779277,0.010874 1.659572 0.14784,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.465098 -0.406602 -0.608272 0.498361,1.857078 -4.027796 1.513118,NaN NaN NaN NaN,NaN NaN NaN,-0.119573 0.104861 0.647005 0.745715,-7.858638 -1.22855 1.302391,NaN NaN NaN NaN,NaN NaN NaN,-0.173756 0.728927 -0.642999 -0.158198,5.500921 -15.340566 -6.836197,0.198639 0.116049 0.093221 0.968703,0.607887 4.523283 12.033735,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.195761 0.103386 -0.967412 0.12289,-2.972661 -6.126082 15.578782,0.182057 0.087972 -0.979163 -0.018842,0.895267 -0.022031 15.888886,NaN NaN NaN NaN,NaN NaN NaN,-0.145926 0.663972 0.27069 0.681596,-8.251614 -20.04298 -10.209201,0.636402 -0.311925 -0.645976 -0.283566,65.250944 -2.890155 8.758465,0.017969 0.501396 0.568589 0.651909,-27.604778 5.183336 13.63607,0.026476 -0.71989 -0.093147 0.6873,8.086922 9.927649 -1.929123,-0.533464 -0.550652 -0.455149 0.45281,6.927488 0.356525 -5.727044,0.433668 0.2998 -0.847956 -0.05497,-7.276328 -5.173423 3.794245
0.602753 0.00904 0.05325 0.796098,12.742787 -6.45021 -4.065329,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.459288 -0.439507 -0.583717 0.505136,0.123971 2.821015 -4.710529,NaN NaN NaN NaN,NaN NaN NaN,-0.107808 0.090965 0.650507 0.746286,-10.283034 -1.572882 8.759692,NaN NaN NaN NaN,NaN NaN NaN,-0.175373 0.695106 -0.678574 -0.160029,-6.657978 -10.640134 -3.266308,0.197602 0.119126 0.092928 0.96857,1.244088 7.296477 11.683893,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.20206 0.147308 -0.958347 0.137999,2.3706 -14.786237 2.278282,0.186498 0.093029 -0.97793 -0.014709,6.130373 -5.565357 14.689919,NaN NaN NaN NaN,NaN NaN NaN,-0.147495 0.665514 0.249149 0.687939,26.999822 -7.899306 -2.682569,0.662208 -0.368572 -0.591211 -0.27587,16.770465 -3.276989 -41.240918,0.027798 0.507216 0.563724 0.651287,-5.815087 0.731243 4.085222,0.002294 -0.719768 -0.110102 0.685424,8.266512 11.160031 4.400003,-0.541531 -0.549004 -0.456099 0.444199,8.884067 -2.926718 -7.182295,0.432863 0.297933 -0.84901 -0.055193,-5.936625 -3.149585 5.887976
0.630584 0.028145 0.056463 0.773553,14.557992 -2.331147 -7.706539,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.456764 -0.445471 -0.581612 0.504629,7.400877 5.163078 -3.150282,NaN NaN NaN NaN,NaN NaN NaN,-0.100376 0.080849 0.653239 0.746101,-0.586475 -1.534383 9.833294,NaN NaN NaN NaN,NaN NaN NaN,-0.202505 0.663808 -0.70777 -0.131955,2.541751 -3.99863 3.125284,0.188842 0.120975 0.093687 0.970014,-2.992486 5.804789 9.742314,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.208711 0.118843 -0.961557 0.133132,-3.429228 -7.313827 4.725256,0.18878 0.083481 -0.978421 -0.009196,-2.994184 -5.963616 11.230497,NaN NaN NaN NaN,NaN NaN NaN,-0.144848 0.679948 0.223825 0.683075,-9.191662 -15.039133 4.362426,0.716013 -0.417256 -0.496997 -0.257326,-40.60333 16.231829 17.112499,0.029263 0.510663 0.557314 0.654039,-2.109346 9.626353 2.143757,-0.025481 -0.716702 -0.131704 0.684356,12.238003 -1.81455 -1.66668,-0.543629 -0.54242 -0.461968 0.44366,10.001785 -0.922429 -2.086483,0.433216 0.298201 -0.848726 -0.055363,-6.276622 -4.325881 5.0503
0.672159 0.056289 0.062736 0.735594,7.353214 9.604962 -0.276531,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.463336 -0.427087 -0.597773 0.495565,7.087169 1.448953 3.407157,NaN NaN NaN NaN,NaN NaN NaN,-0.094774 0.076828 0.654943 0.745765,3.640039 -2.671958 9.908463,NaN NaN NaN NaN,NaN NaN NaN,-0.210875 0.666646 -0.704066 -0.124121,11.173348 -3.320749 6.426849,0.181232 0.121885 0.095439 0.97118,-5.063506 2.811616 7.767487,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.205742 0.056969 -0.9698 0.117951,-6.055994 3.712539 11.828792,0.189344 0.066717 -0.979632 -0.004231,-5.731573 -1.877833 10.443552,NaN NaN NaN NaN,NaN NaN NaN,-0.119753 0.696462 0.186416 0.682531,-12.635497 4.89455 -4.761655,0.6964 -0.351287 -0.582243 -0.229386,-19.782287 5.369127 -17.825138,0.029068 0.514523 0.555718 0.65238,-9.569657 10.315777 2.850788,-0.035797 -0.714752 -0.137847 0.684723,11.571544 -8.717988 -2.164843,-0.543327 -0.544356 -0.458278 0.445482,9.486703 -0.848307 -1.923872,0.434036 0.299124 -0.847964 -0.055623,-6.871329 -5.318935 4.52022
0.675209 0.071163 0.067612 0.731066,0.659534 20.359736 6.391618,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.474696 -0.421283 -0.601619 0.485015,10.948738 -4.751913 4.3312,NaN NaN NaN NaN,NaN NaN NaN,-0.089396 0.080274 0.655699 0.745402,0.676496 -1.894806 8.534808,NaN NaN NaN NaN,NaN NaN NaN,-0.205907 0.692863 -0.678452 -0.131327,5.15412 -7.239459 -0.587051,0.178713 0.122753 0.097096 0.971373,-3.1267 1.543605 7.812229,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.197828 0.014077 -0.974032 0.109214,-3.801797 6.430498 12.256998,0.188001 0.055403 -0.980605 -0.000407,-4.918023 0.072686 10.648614,NaN NaN NaN NaN,NaN NaN NaN,-0.097499 0.703411 0.1613 0.685338,-16.298319 8.869917 -3.535767,0.685649 -0.33801 -0.601103 -0.233045,0.18628 -3.467503 12.266645,0.030796 0.517058 0.555159 0.65077,-7.145511 4.996667 6.019775,-0.029441 -0.714996 -0.129996 0.686305,8.319743 -6.676865 -1.713382,-0.540624 -0.545608 -0.455629 0.449933,10.702172 -0.525492 -1.982727,0.434976 0.29984 -0.847225 -0.055704,-6.994677 -5.770982 4.113029
0.656647 0.069467 0.070752 0.747652,-3.55979 13.274826 -1.715978,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.463173 -0.425534 -0.598468 0.496213,12.000078 -2.447515 3.087795,NaN NaN NaN NaN,NaN NaN NaN,-0.085378 0.087281 0.655344 0.745397,-0.585349 1.096234 7.7849,NaN NaN NaN NaN,NaN NaN NaN,-0.199701 0.705572 -0.665855 -0.137567,3.291037 -9.295289 -3.936926,0.182932 0.123679 0.098603 0.970318,-2.212666 1.786605 9.533635,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.196594 0.016959 -0.974023 0.111098,-1.066139 5.646085 9.12817,0.186342 0.050951 -0.981161 0.001688,-3.850711 0.806903 10.779614,NaN NaN NaN NaN,NaN NaN NaN,-0.091261 0.704069 0.154881 0.687,-13.875949 16.69555 -1.472133,0.694395 -0.354561 -0.581146 -0.233177,-7.672028 -3.787317 -2.975411,0.031607 0.518091 0.554516 0.650458,-6.123706 8.835197 2.362149,-0.015913 -0.717265 -0.114835 0.687089,9.498258 -0.907484 -0.801182,-0.537875 -0.547206 -0.452657 0.454266,9.174579 -0.051965 -0.733558,0.435561 0.300219 -0.846795 -0.055623,-7.151115 -5.558949 3.980746
0.652355 0.073251 0.078745 0.750244,-5.617453 11.631746 2.098877,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,-0.457648 -0.429439 -0.594945 0.502176,9.776602 1.628193 0.813793,NaN NaN NaN NaN,NaN NaN NaN,-0.084862 0.093743 0.654329 0.745563,-2.399146 2.659911 8.81223,NaN NaN NaN NaN,NaN NaN NaN,-0.198714 0.697966 -0.674334 -0.136494,2.729944 -8.628929 -0.669679,0.190445 0.123223 0.101092 0.968673,-1.867703 4.065334 10.148151,NaN NaN NaN NaN,NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN,0.203986 0.051675 -0.970361 0.118825,-2.044607 1.790415 6.280595,0.184676 0.05646 -0.981171 0.00313,-3.346476 0.86948 10.238168,NaN NaN NaN NaN,NaN NaN NaN,-0.10578 0.702092 0.169113 0.683578,-7.400217 11.820824 1.141598,0.679959 -0.395771 -0.552636 -0.274981,-13.234509 4.65039 -0.023866,0.030991 0.518298 0.554669 0.650191,-6.347191 6.242933 4.786472,-0.004102 -0.718818 -0.098847 0.688122,9.122764 3.634862 -0.253485,-0.534994 -0.549661 -0.448975 0.45834,9.309441 0.709814 0.251414,0.435603 0.300107 -0.846818 -0.055543,-7.089032 -5.817311 3.914825
